ms,target_x,target_y,cursor_x,cursor_y,error_x,error_y
0.016666668,604.6347,604.6347,604.0,604.0,0.6347046,0.6347046
0.033333335,605.60455,605.60455,604.0,604.0,1.6045532,1.6045532
0.05,606.15436,606.15436,605.0,604.0,1.1543579,2.154358
0.06666667,606.2246,606.2246,605.0,604.0,1.2246094,2.2246094
0.083333336,605.77313,605.77313,609.0,606.0,-3.2268677,-0.22686768
0.1,604.77795,604.77795,612.0,609.0,-7.222046,-4.222046
0.11666667,603.23865,603.23865,615.0,612.0,-11.761353,-8.761353
0.13333334,601.1777,601.1777,618.0,615.0,-16.822327,-13.822327
0.15,598.6401,598.6401,624.0,621.0,-25.359924,-22.359924
0.16666667,595.69354,595.69354,628.0,625.0,-32.306458,-29.306458
0.18333334,592.4265,592.4265,632.0,629.0,-39.573486,-36.573486
0.2,588.94586,588.94586,634.0,629.0,-45.05414,-40.05414
0.21666667,585.3742,585.3742,635.0,630.0,-49.625793,-44.625793
0.23333333,581.846,581.846,636.0,630.0,-54.15399,-48.15399
0.25,578.50305,578.50305,636.0,630.0,-57.49695,-51.49695
0.26666668,575.48975,575.48975,637.0,630.0,-61.510254,-54.510254
0.28333333,572.94824,572.94824,638.0,630.0,-65.05176,-57.051758
0.3,571.0128,571.0128,640.0,631.0,-68.98718,-59.987183
0.31666666,569.80475,569.80475,641.0,631.0,-71.19525,-61.19525
0.33333334,569.42786,569.42786,642.0,632.0,-72.57214,-62.572144
0.35,569.9631,569.9631,643.0,633.0,-73.03693,-63.036926
0.36666667,571.4655,571.4655,643.0,633.0,-71.534485,-61.534485
0.38333333,573.96045,573.96045,643.0,633.0,-69.03955,-59.03955
0.4,577.4418,577.4418,643.0,633.0,-65.55823,-55.558228
0.41666666,581.87036,581.87036,643.0,633.0,-61.12964,-51.12964
0.43333334,587.174,587.174,643.0,633.0,-55.82599,-45.82599
0.45,593.2487,593.2487,636.0,631.0,-42.75128,-37.75128
0.46666667,599.9606,599.9606,623.0,626.0,-23.039429,-26.039429
0.48333332,607.14923,607.14923,610.0,621.0,-2.850769,-13.850769
0.5,614.6321,614.6321,597.0,615.0,17.63208,-0.36791992
0.51666665,622.20984,622.20984,589.0,611.0,33.20984,11.209839
0.53333336,629.6718,629.6718,584.0,608.0,45.671814,21.671814
0.55,636.80334,636.80334,582.0,606.0,54.803345,30.803345
0.56666666,643.3922,643.3922,582.0,605.0,61.392212,38.392212
0.5833333,649.23566,649.23566,581.0,603.0,68.23566,46.235657
0.6,654.1478,654.1478,580.0,602.0,74.14783,52.147827
